"lang"
{
"Language"		"ukrainian"
"Tokens"
{
"testcommands"		"<clr:255,0,0>Цей текст червоний,<I> і виділений курсивом,<B> і <cr>жирний,<B><I><clr:255,255,255> і знову білий."
"[english]testcommands"		"<clr:255,0,0>This is red<I> and italics<B> and<cr>bold<B><I><clr:255,255,255> white again."
"Command.co_m1_ob1"		"<clr:240,255,255>Командир: Гаразд, загін. Ми повинні перевірити бортові журнали і дізнатися чи зміг хто-небудь вибратися звідси. Дістаньтеся до посадкової станції і знайдіть термінал, з якого можна буде завантажити дані про транспортні перевезення. Там я з вами зв’яжуся."
"[english]Command.co_m1_ob1"		"<clr:240,255,255>Commander: Okay, squad.  We need to check the shipping manifests to see if any survivors made it off this rock.  Make your way down to the landing bay and find a terminal where we can download the transport records.  I'll check in with you there."
"Command.co_m1_ob2"		"<clr:240,255,255>Командир: Так, ці журнали — непотріб. Думаю, ведення записів не було пріоритетним завданням, коли відбувся напад рою.  Відтепер діємо як пошуковий загін, допоки не отримаємо інших вказівок. Тож зосередьтеся на пошуку вцілілих. Прямуйте до дальнього виходу і там ми перегрупуємося."
"[english]Command.co_m1_ob2"		"<clr:240,255,255>Commander: Well, these manifests are useless.  Guess record keeping wasn't exactly high on the priority list when the swarm hit.  We are now search and rescue until otherwise informed, so keep an eye out for survivors.  Head for the far exit and then we'll regroup."
"Command.co_m1_ob3"		"<clr:240,255,255>Командир: Гаразд, рухаємося далі! Основна будівля колонії прямо по курсу!"
"[english]Command.co_m1_ob3"		"<clr:240,255,255>Commander: All right, keep going!  Main colony's dead ahead!"
		"Command.co_m1_ob4"		"<clr:240,255,255>Commander: Keep the elevator down to the main mining complex and forward formation to the entrance."
		"[english]Command.co_m1_ob4"		"<clr:240,255,255>Commander: Keep the elevator down to the main mining complex and forward formation to the entrance."
"Command.co_m1_ob5"		"<clr:240,255,255>Командир: Датчик руху реєструє велику кількість об’єктів, які наближаються. Щось мені підказує, що в них недружні наміри. Постарайтеся протриматися до прибуття ліфта."
"[english]Command.co_m1_ob5"		"<clr:240,255,255>Commander: I'm picking up multiple inbound motion signatures.  Something tells me these ain't friendlies.  Try to hold out until the elevator arrives."
		"Command.co_m1_ob6"		"<clr:240,255,255>Commander: We better get to the colony to see what we can find."
		"[english]Command.co_m1_ob6"		"<clr:240,255,255>Commander: We better get to the colony to see what we can find."
		"Command.co_m1_ob7"		"<clr:240,255,255>Commander: We can't get to the colony from up here, we need to get down to the lower level."
		"[english]Command.co_m1_ob7"		"<clr:240,255,255>Commander: We can't get to the colony from up here, we need to get down to the lower level."
		"Command.co_m1_ob8"		"<clr:240,255,255>Commander: Get to the exit!"
		"[english]Command.co_m1_ob8"		"<clr:240,255,255>Commander: Get to the exit!"
"Command.co_m2_ob1"		"<clr:240,255,255>Командир: Кепські справи. Наступний сектор кишить жуками. Рій використовує тамтешній трубопровід як швидкісну автостраду для поширення колонією. Рухайтеся далі і знайдіть трубопровід, а там я побачу як його знищити. Нам необхідно зупинити розповсюдження жуків."
"[english]Command.co_m2_ob1"		"<clr:240,255,255>Commander: The situation isn't pretty.  This next sector is completely overrun.  There's a pipeline that the Swarm's using as a superhighway to spread through the colony.  You go ahead and find the pipeline, and I'll see if we can figure out a way to destroy it. We need to stop these bugs from getting out."
"Command.co_m2_ob2"		"<clr:240,255,255>Командир: Схоже на те, що не ми одні знали, що рій використовує цей трубопровід. Навколо тієї труби закладено чимало вибухівки. Напевно шахтарі встановили її, але так і не змогли підірвати. Чому б не закінчити те, що вони почали?"
"[english]Command.co_m2_ob2"		"<clr:240,255,255>Commander: Looks like we weren't the only ones who knew the Swarm were using the pipeline.  That's a lot of boom packed around that pipe.  Miners must have rigged the explosives but never got the chance to set em off.  How about you finish what they started?"
"Command.co_m2_ob3"		"<clr:240,255,255>Командир: Трубопровід прямо над вами. Підривайте його негайно!"
"[english]Command.co_m2_ob3"		"<clr:240,255,255>Commander: That's the pipeline right above you.  Go ahead and blow it now!"
"Command.co_m2_ob4"		"<clr:240,255,255>Командир: Схоже на те, що в наступному секторі нема електроенергії. В мене є ідея, як освітити ваш шлях."
"[english]Command.co_m2_ob4"		"<clr:240,255,255>Commander: Looks like power's out in the next area.  I got an idea though for lighting up your way."
"Command.co_m2_ob5"		"<clr:240,255,255>Командир: Гаразд, посилаю вам «Шукача», аби побачити, чи можна пролити трохи світла на цю проблему. Старайтеся триматися у світлі його прожекторів, коли будете перетинати міст. Усе повинно пройти гладко."
"[english]Command.co_m2_ob5"		"<clr:240,255,255>Commander: Okay, I'm sending in Bloodhound to see if I can't shed a little light on this problem.  You try and stay in her lamps while you're crossing the bridge, you should be all right."
"Command.co_m2_ob6"		"<clr:240,255,255>Командир: Гарна робота. Тепер перетинайте міст."
"[english]Command.co_m2_ob6"		"<clr:240,255,255>Commander: Good job.  Now get across."
"Command.co_m2_ob7"		"<clr:240,255,255>Командир: Гаразд, «Шукач» знизиться і зависне над прірвою. Перебирайтеся на інший бік по його корпусу. І обережніше там! Коли все закінчиться, він повинен відвезти вас додому."
"[english]Command.co_m2_ob7"		"<clr:240,255,255>Commander: Okay, I'm gonna bring Bloodhound in low and hover.  You climb across her back while she's waiting.  Step lightly now.  She's gotta bring you home at the end of this."
		"Command.co_m2_ob8"		"<clr:240,255,255>Commander: Colony reactor is dead ahead."
		"[english]Command.co_m2_ob8"		"<clr:240,255,255>Commander: Colony reactor is dead ahead."
"Command.co_m3_ob1"		"<clr:240,255,255>Командир: Гаразд, загоне, командування хоче, щоби комп’ютери знову запрацювали. Реактор колонії вийшов з ладу після атаки рою, тому вам необхідно знайти спосіб дістатися до ядра реактора і відновити його роботу."
"[english]Command.co_m3_ob1"		"<clr:240,255,255>Commander: Okay Squad, command wants the computers up and running.  The colony's reactor was knocked offline by the Swarm attack, so you need to find your way to the reactor core and get that juice back on in there."
"Command.co_m3_ob2"		"<clr:240,255,255>Командир: Хороша робота, загоне! Живлення увімкнено. Командування щойно отримало доступ до комп’ютерних систем. Рухайтеся далі, перегрупуємся пізніше."
"[english]Command.co_m3_ob2"		"<clr:240,255,255>Commander: Great job, team!  Power is on.  Command is accessing the colony's computer systems right now.  Keep moving, and we'll regroup up ahead."
"Command.co_m3_ob3"		"<clr:240,255,255>Командир: Гаразд, загоне, надійшов наказ згори. Скажу вам прямо, все погано. Командуванню не сподобалося те, що вони дізналися з комп’ютерів колонії. Схоже, що всі колоністи мертві. Це означає, що зараження вийшло з-під контролю і командування вирішило познайомити рій із дивами ядерної доби. Вони завантажили коди детонації в ядерний пристрій для ведення гірничих робіт, який, по-суті, є ядерною боєголовкою, і вам необхідно доправити його в серце гнізда рою. Прямуйте в житловий комплекс, а я знайду для вас шлях до бомби."
"[english]Command.co_m3_ob3"		"<clr:240,255,255>Commander: Okay, Squad.  Word just came down from on high.  I'm gonna be straight with you, it's all bad.  Command didn't like what the colony's computer system had to say.  Looks like the colonists are dead.  Means the infestation is out of control, and they've decided to introduce the Swarm to the wonders of the nuclear age.  They've uploaded detonation codes into the mine's nuclear excavation device—basically a nuclear warhead—and they need you to deliver it into the heart of the Swarm's nest.  Head toward residential, and I'll find you a path to the bomb."
"Command.co_m4_ob1"		"<clr:240,255,255>Командир: Сенсори реєструють велике скупчення яєць та біомаси в цьому секторі. Доведеться звільнити трохи місця. Очистіть місцевість від зараження. Можете їх спалити, якщо необхідно, але пам’ятайте — знищення біомаси приверне увагу рою."
"[english]Command.co_m4_ob1"		"<clr:240,255,255>Commander: All right, sensors show a massive build-up of eggs and biomass in this sector.  Make yourselves a little room to work.  Clear out the infestation.  Burn them if you have to, but be advised, destroying biomass calls the Swarm."
"Command.co_m4_ob2"		"<clr:240,255,255>Командир: Схоже, що попереду ще є біомаса; розв’яжіть цю проблему за допомогою вогню."
"[english]Command.co_m4_ob2"		"<clr:240,255,255>Commander: Looks like more biomass ahead; get a firing solution on that problem."
"Command.co_m4_ob3"		"<clr:240,255,255>Командир: Добре, ви майже очистили цей сектор. Продовжуйте рухатися вперед."
"[english]Command.co_m4_ob3"		"<clr:240,255,255>Commander: All right, you've almost cleared out the last of it.  Keep pushing forward."
		"Command.co_m4_ob4"		"<clr:240,255,255>Commander: Just a few more eggs to go."
		"[english]Command.co_m4_ob4"		"<clr:240,255,255>Commander: Just a few more eggs to go."
		"Command.co_m4_ob5"		"<clr:240,255,255>Commander: You cleared out the area, time to get to the Swarm nest. Take the elevator down."
		"[english]Command.co_m4_ob5"		"<clr:240,255,255>Commander: You cleared out the area, time to get to the Swarm nest. Take the elevator down."
"Command.co_m5_ob1"		"<clr:240,255,255>Командир: Загоне, я знайшов велику групу рою у колекторному вузлі 16."
